"PDF File Name",Postcode,Retailer,"Offer Name","Offer No.","Customer type","Fuel type",Distributor(s),"Tariff type","Offer type","Release Date","Contract term","Contract expiry details","Bill frequency","All usage Price (exc. GST)","Daily supply charge Price (exc. GST)","First usage Price (exc. GST)","Second usage Price (exc. GST)","Third Usage Price (exc. GST)","Fourth Uage Price (exc. GST)","Fifth Usage Price (exc. GST)","Balance Usage Price",Peak,Shoulder,"Off Peak","Peak - Summer","Peak - Winter","Peak - First usage Price","Peak - Second Usage Price","Peak - Third usage Price","Peak - Fourth Usage Price","Peak - Fifth Usage Price","Peak - Balance Price","Summer Monthly Demand","Winter Monthly Demand","Additional Monthly Demand","First Step","Second Step","Third Step","Fourth Step","Fifth Step","Off peak - Controlled load 1 All controlled load 1 ALL USAGE Price (exc. GST)","Off peak - Controlled load 1 All controlled load 1 Daily Supply Charge Price (exc. GST)","Off peak - Controlled load 2 All controlled load 1 ALL USAGE Price (exc. GST)","Off peak - Controlled load 2 All controlled load 1 Daily Supply Charge Price (exc. GST)",Frequency,"Conditional Discount","Discount %","Discount applicable to","Guaranteed discounts","Discount %","Discount applicability","Are these prices fixed?","Eligibility Criteria","Exit fee 1 year","Exit fee 2 year","Cheque Dishonour payment fee","Contribution Fee","Direct debit dishonour payment fee","Payment processing fee","Disconnection fee","Reconnection fee","Contribution Fee","Other fee","Late payment fee","Credit card payment processing fee","Other fee","Voluntary FiT","GreenPower option",Incentives
electricity-offer-101935-fact-sheet-pdf-2576.pdf,2576,"Diamond Energy","Diamond Power",DIA101935MR,Residential,Electricity,Endeavour,"Time of use","Market offer",11-Sep-2015,"2 years","If you have not entered into a new agreement with us, then we will continue to sell electricity to youunder this agreement on the same Terms and Conditions at that time.","Every 3 months",29.85,92.00,,,,,,,29.85,23.00,11.15,,,,,,,,,,,,,,,,,,,,,,"Direct Debit Discount",3%,,,,,No,"Eligibility and availability criteria apply, including that this offer is only for residential customerswho are located within the relevant distribution area, with the appropriate network tariff(s) andmetering installation and configuration. For full terms and conditions visit our website or contact uson 1300 838 009.",$22.00,,$20.00,,10.00,,,,,,$15.00,"Percentage of bill - 0.60%",,,2.75,
electricity-offer-101936-fact-sheet-pdf-2000.pdf,2000,"Diamond Energy","Diamond Power",DIA101936MR,Residential,Electricity,Ausgrid,"Time of use","Market offer",11-Sep-2015,"2 years","If you have not entered into a new agreement with us, then we will continue to sell electricity to youunder this agreement on the same Terms and Conditions at that time.","Every 3 months",41.50,80.00,,,,,,,41.50,16.80,9.80,,,,,,,,,,,,,,,,,,,,,,"Direct Debit Discount",3%,,,,,No,"Eligibility and availability criteria apply, including that this offer is only for residential customerswho are located within the relevant distribution area, with the appropriate network tariff(s) andmetering installation and configuration. For full terms and conditions visit our website or contact uson 1300 838 009.",$22.00,,$20.00,,10.00,,,,,,$15.00,"Percentage of bill - 0.60%",,,2.75,
electricity-offer-101937-fact-sheet-pdf-2000.pdf,2000,"Diamond Energy","Diamond Power",DIA101937MR,Residential,Electricity,Ausgrid,"Time of use with controlled load","Market offer",11-Sep-2015,"2 years","If you have not entered into a new agreement with us, then we will continue to sell electricity to youunder this agreement on the same Terms and Conditions at that time.","Every 3 months",41.50,80.00,,,,,,,41.50,16.80,9.80,,,,,,,,,,,,,,,,,8.45,1.90,11.50,10.00,,"Direct Debit Discount",3%,,,,,No,"Eligibility and availability criteria apply, including that this offer is only for residential customerswho are located within the relevant distribution area, with the appropriate network tariff(s) andmetering installation and configuration. For full terms and conditions visit our website or contact uson 1300 838 009.",$22.00,,$20.00,,10.00,,,,,,$15.00,"Percentage of bill - 0.60%",,,2.75,
electricity-offer-101938-fact-sheet-pdf-2576.pdf,2576,"Diamond Energy","Diamond Power",DIA101938MR,Residential,Electricity,Endeavour,"Time of use with controlled load","Market offer",11-Sep-2015,"No contract term","If you have not entered into a new agreement with us, then we will continue to sell electricity to youunder this agreement on the same Terms and Conditions at that time.","Every 3 months",29.85,92.00,,,,,,,29.85,23.00,11.15,,,,,,,,,,,,,,,,,7.80,5.00,11.50,5.00,,"Direct Debit Discount",3%,,,,,No,"Eligibility and availability criteria apply, including that this offer is only for residential customerswho are located within the relevant distribution area, with the appropriate network tariff(s) andmetering installation and configuration. For full terms and conditions visit our website or contact uson 1300 838 009.",$22.00,,$20.00,,10.00,,,,,,$15.00,"Percentage of bill - 0.60%",,,2.75,
electricity-offer-101939-fact-sheet-pdf-2000.pdf,2000,"Diamond Energy","Diamond Solar",DIA101939MR,Residential,Electricity,Ausgrid,"Time of use","Market offer",11-Sep-2015,"2 years","If you have not entered into a new agreement with us, then we will continue to sell electricity to youunder this agreement on the same Terms and Conditions at that time.","Every 3 months",41.50,80.00,,,,,,,41.50,16.80,9.80,,,,,,,,,,,,,,,,,,,,,,"Direct Debit Discount",3%,,,,,No,"Eligibility and availability criteria apply, including that this offer is only for residential customerswho are located within the relevent distribution area, with the appropriate network tariff(s) andmetering installation and configuration. For full terms and conditions visit our website or contact uson 1300 838 009.",$22.00,,$20.00,,10.00,,,,,,$15.00,"Percentage of bill - 0.60%",,,2.75,
electricity-offer-101940-fact-sheet-pdf-2000.pdf,2000,"Diamond Energy","Diamond Solar",DIA101940MR,Residential,Electricity,Ausgrid,"Time of use with controlled load","Market offer",11-Sep-2015,"2 years","If you have not entered into a new agreement with us, then we will continue to sell electricity to youunder this agreement on the same Terms and Conditions at that time.","Every 3 months",41.50,80.00,,,,,,,41.50,16.80,9.80,,,,,,,,,,,,,,,,,8.45,1.90,11.50,10.00,,"Direct Debit Discount",3%,,,,,No,"Eligibility and availability criteria apply, including that this offer is only for residential customerswho are located within the relevent distribution area, with the appropriate network tariff(s) andmetering installation and configuration. For full terms and conditions visit our website or contact uson 1300 838 009.",$22.00,,$20.00,,10.00,,,,,,$15.00,"Percentage of bill - 0.60%",,,2.75,
electricity-offer-101941-fact-sheet-pdf-2576.pdf,2576,"Diamond Energy","Diamond Solar",DIA101941MR,Residential,Electricity,Endeavour,"Time of use","Market offer",11-Sep-2015,"2 years","If you have not entered into a new agreement with us, then we will continue to sell electricity to youunder this agreement on the same Terms and Conditions at that time.","Every 3 months",29.85,92.00,,,,,,,29.85,23.00,11.15,,,,,,,,,,,,,,,,,,,,,,"Direct Debit Discount",3%,,,,,No,"Eligibility and availability criteria apply, including that this offer is only for residential customerswho are located within the relevent distribution area, with the appropriate network tariff(s) andmetering installation and configuration. For full terms and conditions visit our website or contact uson 1300 838 009.",$22.00,,$20.00,,10.00,,,,,,$15.00,"Percentage of bill - 0.60%",,,2.75,
electricity-offer-101942-fact-sheet-pdf-2576.pdf,2576,"Diamond Energy","Diamond Solar",DIA101942MR,Residential,Electricity,Endeavour,"Time of use with controlled load","Market offer",11-Sep-2015,"2 years","If you have not entered into a new agreement with us, then we will continue to sell electricity to youunder this agreement on the same Terms and Conditions at that time.","Every 3 months",29.85,92.00,,,,,,,29.85,23.00,11.15,,,,,,,,,,,,,,,,,7.80,5.00,11.50,5.00,,"Direct Debit Discount",3%,,,,,No,"Eligibility and availability criteria apply, including that this offer is only for residential customerswho are located within the relevent distribution area, with the appropriate network tariff(s) andmetering installation and configuration. For full terms and conditions visit our website or contact uson 1300 838 009.",$22.00,,$20.00,,10.00,,,,,,$15.00,"Percentage of bill - 0.60%",,,2.75,
electricity-offer-103803-fact-sheet-pdf-5000.pdf,5000,"Diamond Energy","DE Residential 2-Rate",DIA103803SR,Residential,Electricity,"SA Power Networks","Single rate with controlled load","Standing offer",15-Sep-2015,"No contract term","No fixed term. This agreement continues on a rolling monthly or quarterly basis as per the billfrequency.","Every 3 months",,71.80,24.80,25.50,29.95,,,29.95,,,,,,,,,,,,,,,100,233,500,,,12.75,0.00,,,"per month",,,,,,,No,"Eligibility and availability criteria apply, including that this offer is only for residential customerswho are located within the relevent distribution area, with the appropriate network tariff(s) andmetering installation and configuration. For full terms and conditions visit our website or contact uson 1300 838 009.",,,$20.00,,10.00,,,,,,$15.00,"Percentage of bill - 0.60%",,,,
electricity-offer-103806-fact-sheet-pdf-5000.pdf,5000,"Diamond Energy","DE Residential Single Rate",DIA103806SR,Residential,Electricity,"SA Power Networks","Single rate","Standing offer",15-Sep-2015,"No contract term","No fixed term. This agreement continues on a rolling monthly or quarterly basis as per the billfrequency.","Every 3 months",,71.80,24.80,25.50,29.95,,,29.95,,,,,,,,,,,,,,,100,233,500,,,,,,,"per month",,,,,,,No,"Eligibility and availability criteria apply, including that this offer is only for residential customerswho are located within the relevent distribution area, with the appropriate network tariff(s) andmetering installation and configuration. For full terms and conditions visit our website or contact uson 1300 838 009.",,,$20.00,,10.00,,,,,,$15.00,"Percentage of bill - 0.60%",,,,
electricity-offer-109361-fact-sheet-pdf-5000.pdf,5000,"Diamond Energy","Diamond Power",DIA109361MR,Residential,Electricity,"SA Power Networks","Single rate","Market offer",01-Oct-2015,"2 years","If you have not entered into a new agreement with us, then we will continue to sell electricity to youunder this agreement with the same Charges, eligible discounts and Terms and Conditions at thattime and no termination fees applying.","Every 3 months",,71.80,24.80,25.50,29.95,,,29.95,,,,,,,,,,,,,,,100,233,500,,,,,,,"per month","Direct Debit Discount",3%,,,,,No,"Eligibility and availability criteria apply. This offer is for residential customers located within the SAPower Networks distribution area with the appropriate network tariff(s) and metering installationand configuration.",$22.00,,$20.00,,10.00,,,,,,$15.00,"Percentage of bill - 0.60%",,,1.1,
electricity-offer-112269-fact-sheet-pdf-2000.pdf,2000,"1st Energy","Standing Offer - Residential Peak Only",1ST112269SR,Residential,Electricity,Ausgrid,"Single rate","Standing offer",01-Oct-2015,"No contract term","The agreement continues until you or we end it.","Every 1 month",,75.61,21.21,20.64,,,,20.52,,,,,,,,,,,,,,,10.959,10.959,,,,,,,,"per day",,,,,,,No,"You must be within the Ausgrid distribution network to be eligible for this offer.",,,$15.00,,7.50,,,,,,,,,,,
electricity-offer-112272-fact-sheet-pdf-2000.pdf,2000,"1st Energy","Standing Offer - Residential Peak + Controlled Load 1",1ST112272SR,Residential,Electricity,Ausgrid,"Single rate with controlled load","Standing offer",01-Oct-2015,"No contract term","The agreement continues until you or we end it.","Every 1 month",,75.61,21.21,20.64,,,,20.52,,,,,,,,,,,,,,,10.959,10.959,,,,8.15,0.00,,,"per day",,,,,,,No,"You must be within the Ausgrid distribution network to be eligible for this offer.",,,$15.00,,7.50,,,,,,,,,,,
electricity-offer-112275-fact-sheet-pdf-2000.pdf,2000,"1st Energy","Standing Offer - Residential Peak + Controlled Load 2",1ST112275SR,Residential,Electricity,Ausgrid,"Single rate with controlled load","Standing offer",01-Oct-2015,"No contract term","The agreement continues until you or we end it.","Every 1 month",,85.50,21.21,20.64,,,,20.52,,,,,,,,,,,,,,,10.959,10.959,,,,,,11.11,0.00,"per day",,,,,,,No,"You must be within the Ausgrid distribution network to be eligible for this offer.",,,$15.00,,7.50,,,,,,,,,,,
electricity-offer-112278-fact-sheet-pdf-2000.pdf,2000,"1st Energy","Standing Offer - Residential Peak + Controlled Load 1&2",1ST112278SR,Residential,Electricity,Ausgrid,"Single rate with controlled load","Standing offer",01-Oct-2015,"No contract term","The agreement continues until you or we end it.","Every 1 month",,85.50,21.21,20.64,,,,20.52,,,,,,,,,,,,,,,10.959,10.959,,,,8.15,0.00,11.11,0.00,"per day",,,,,,,No,"You must be within the Ausgrid distribution network to be eligible for this offer.",,,$15.00,,7.50,,,,,,,,,,,
electricity-offer-112281-fact-sheet-pdf-2000.pdf,2000,"1st Energy","Standing Offer - Business Peak Only",1ST112281SS,"Small Business",Electricity,Ausgrid,"Single rate","Standing offer",01-Oct-2015,"No contract term","The agreement continues until you or we end it.","Every 1 month",,161.88,23.51,,,,,24.59,,,,,,,,,,,,,,,27.397,,,,,,,,,"per day",,,,,,,No,"You must be within the Ausgrid distribution network to be eligible for this offer.",,,$15.00,,7.50,,,,,,,,,,,
electricity-offer-112284-fact-sheet-pdf-2000.pdf,2000,"1st Energy","Standing Offer - Business Peak + Controlled Load 1",1ST112284SS,"Small Business",Electricity,Ausgrid,"Single rate with controlled load","Standing offer",01-Oct-2015,"No contract term","The agreement continues until you or we end it.","Every 1 month",,161.88,23.51,,,,,24.59,,,,,,,,,,,,,,,27.397,,,,,8.15,0.00,,,"per day",,,,,,,No,"You must be within the Ausgrid distribution network to be eligible for this offer.",,,$15.00,,7.50,,,,,,,,,,,
electricity-offer-112287-fact-sheet-pdf-2000.pdf,2000,"1st Energy","Standing Offer - Business Peak + Controlled Load 2",1ST112287SS,"Small Business",Electricity,Ausgrid,"Single rate with controlled load","Standing offer",01-Oct-2015,"No contract term","The agreement continues until you or we end it.","Every 1 month",,171.77,23.51,,,,,24.59,,,,,,,,,,,,,,,27.397,,,,,,,11.11,0.00,"per day",,,,,,,No,"You must be within the Ausgrid distribution network to be eligible for this offer.",,,$15.00,,7.50,,,,,,,,,,,
electricity-offer-112290-fact-sheet-pdf-2000.pdf,2000,"1st Energy","Standing Offer - Business Peak + Controlled Load 1&2",1ST112290SS,"Small Business",Electricity,Ausgrid,"Single rate with controlled load","Standing offer",01-Oct-2015,"No contract term","The agreement continues until you or we end it.","Every 1 month",,171.77,23.51,,,,,24.59,,,,,,,,,,,,,,,27.397,,,,,8.15,0.00,11.11,0.00,"per day",,,,,,,No,"You must be within the Ausgrid distribution network to be eligible for this offer.",,,$15.00,,7.50,,,,,,,,,,,
electricity-offer-112293-fact-sheet-pdf-2576.pdf,2576,"1st Energy","Standing Offer - Residential Peak Only",1ST112293SR,Residential,Electricity,Endeavour,"Single rate","Standing offer",01-Oct-2015,"No contract term","The agreement continues until you or we end it.","Every 1 month",,74.32,21.81,21.22,,,,20.45,,,,,,,,,,,,,,,10.959,8.219,,,,,,,,"per day",,,,,,,No,"You must be within the Endeavour Energy distribution network to be eligible for this offer.",,,$15.00,,7.50,,,,,,,,,,,
electricity-offer-112296-fact-sheet-pdf-2576.pdf,2576,"1st Energy","Standing Offer - Residential Peak + Controlled Load 1",1ST112296SR,Residential,Electricity,Endeavour,"Single rate with controlled load","Standing offer",01-Oct-2015,"No contract term","The agreement continues until you or we end it.","Every 1 month",,79.28,21.81,21.22,,,,20.45,,,,,,,,,,,,,,,10.959,8.219,,,,6.92,0.00,,,"per day",,,,,,,No,"You must be within the Endeavour Energy distribution network to be eligible for this offer.",,,$15.00,,7.50,,,,,,,,,,,
electricity-offer-112299-fact-sheet-pdf-2576.pdf,2576,"1st Energy","Standing Offer - Residential Peak + Controlled Load 2",1ST112299SR,Residential,Electricity,Endeavour,"Single rate with controlled load","Standing offer",01-Oct-2015,"No contract term","The agreement continues until you or we end it.","Every 1 month",,79.28,21.81,21.22,,,,20.45,,,,,,,,,,,,,,,10.959,8.219,,,,,,11.52,0.00,"per day",,,,,,,No,"You must be within the Endeavour Energy distribution network to be eligible for this offer.",,,$15.00,,7.50,,,,,,,,,,,
electricity-offer-112302-fact-sheet-pdf-2576.pdf,2576,"1st Energy","Standing Offer - Business Peak Only",1ST112302SS,"Small Business",Electricity,Endeavour,"Single rate","Standing offer",01-Oct-2015,"No contract term","The agreement continues until you or we end it.","Every 1 month",,92.72,21.04,,,,,21.99,,,,,,,,,,,,,,,27.397,,,,,,,,,"per day",,,,,,,No,"You must be within the Endeavour Energy distribution network to be eligible for this offer.",,,$15.00,,7.50,,,,,,,,,,,
electricity-offer-112305-fact-sheet-pdf-2576.pdf,2576,"1st Energy","Standing Offer - Business Peak + Controlled Load 1",1ST112305SS,"Small Business",Electricity,Endeavour,"Single rate with controlled load","Standing offer",01-Oct-2015,"No contract term","The agreement continues until you or we end it.","Every 1 month",,97.68,21.04,,,,,21.99,,,,,,,,,,,,,,,27.397,,,,,6.92,0.00,,,"per day",,,,,,,No,"You must be within the Endeavour Energy distribution network to be eligible for this offer.",,,$15.00,,7.50,,,,,,,,,,,
electricity-offer-112308-fact-sheet-pdf-2576.pdf,2576,"1st Energy","Standing Offer - Business Peak + Controlled Load 2",1ST112308SS,"Small Business",Electricity,Endeavour,"Single rate with controlled load","Standing offer",01-Oct-2015,"No contract term","The agreement continues until you or we end it.","Every 1 month",,97.68,21.04,,,,,21.99,,,,,,,,,,,,,,,27.397,,,,,,,11.52,0.00,"per day",,,,,,,No,"You must be within the Endeavour Energy distribution network to be eligible for this offer.",,,$15.00,,7.50,,,,,,,,,,,
electricity-offer-112311-fact-sheet-pdf-2340.pdf,2340,"1st Energy","Standing Offer - Residential Peak Only",1ST112311SR,Residential,Electricity,"Essential Energy","Single rate","Standing offer",01-Oct-2015,"No contract term","The agreement continues until you or we end it.","Every 1 month",,131.34,22.18,21.86,,,,21.54,,,,,,,,,,,,,,,10.959,8.219,,,,,,,,"per day",,,,,,,No,"You must be within the Essential Energy distribution network to be eligible for this offer.",,,$15.00,,7.50,,,,,,,,,,,
electricity-offer-112314-fact-sheet-pdf-2340.pdf,2340,"1st Energy","Standing Offer - Residential Peak + Controlled Load 1",1ST112314SR,Residential,Electricity,"Essential Energy","Single rate with controlled load","Standing offer",01-Oct-2015,"No contract term","The agreement continues until you or we end it.","Every 1 month",,143.64,22.18,21.86,,,,21.54,,,,,,,,,,,,,,,10.959,8.219,,,,10.39,0.00,,,"per day",,,,,,,No,"You must be within the Essential Energy distribution network to be eligible for this offer.",,,$15.00,,7.50,,,,,,,,,,,
electricity-offer-112317-fact-sheet-pdf-2340.pdf,2340,"1st Energy","Standing Offer - Residential Peak + Controlled Load 2",1ST112317SR,Residential,Electricity,"Essential Energy","Single rate with controlled load","Standing offer",01-Oct-2015,"No contract term","The agreement continues until you or we end it.","Every 1 month",,144.10,22.18,21.86,,,,21.54,,,,,,,,,,,,,,,10.959,8.219,,,,,,14.94,0.00,"per day",,,,,,,No,"You must be within the Essential Energy distribution network to be eligible for this offer.",,,$15.00,,7.50,,,,,,,,,,,
electricity-offer-112320-fact-sheet-pdf-2340.pdf,2340,"1st Energy","Standing Offer - Business Peak Only",1ST112320SS,"Small Business",Electricity,"Essential Energy","Single rate","Standing offer",01-Oct-2015,"No contract term","The agreement continues until you or we end it.","Every 1 month",,158.84,27.59,,,,,24.92,,,,,,,,,,,,,,,54.795,,,,,,,,,"per day",,,,,,,No,"You must be within the Essential Energy distribution network to be eligible for this offer.",,,$15.00,,7.50,,,,,,,,,,,
electricity-offer-112323-fact-sheet-pdf-2340.pdf,2340,"1st Energy","Standing Offer - Business Peak + Controlled Load 1",1ST112323SS,"Small Business",Electricity,"Essential Energy","Single rate with controlled load","Standing offer",01-Oct-2015,"No contract term","The agreement continues until you or we end it.","Every 1 month",,171.14,27.59,,,,,24.92,,,,,,,,,,,,,,,54.795,,,,,10.39,0.00,,,"per day",,,,,,,No,"You must be within the Essential Energy distribution network to be eligible for this offer.",,,$15.00,,7.50,,,,,,,,,,,
electricity-offer-112326-fact-sheet-pdf-2340.pdf,2340,"1st Energy","Standing Offer - Business Peak + Controlled Load 2",1ST112326SS,"Small Business",Electricity,"Essential Energy","Single rate with controlled load","Standing offer",01-Oct-2015,"No contract term","The agreement continues until you or we end it.","Every 1 month",,171.60,27.59,,,,,24.92,,,,,,,,,,,,,,,54.795,,,,,,,14.94,0.00,"per day",,,,,,,No,"You must be within the Essential Energy distribution network to be eligible for this offer.",,,$15.00,,7.50,,,,,,,,,,,
